text,sentiment
I love the new features in the AI model!,positive
The app keeps crashing every 5 minutes. Frustrating!,negative
"Not bad, but could be better.",positive
AI is transforming the future of work.,neutral
Iâ€™m so bored of hearing about AI all the time.,negative
This update is amazing. Kudos to the team!,positive
"Neutral on this topic, nothing special.",positive
The UI is cluttered and hard to navigate.,negative
Great progress in such a short time!,positive
No strong feelings about the news.,negative
